"Szavazókör címe","OEVK","Sorszáma","Akadálymentes","Átjelentkezők számára kijelölt","Települési szintű lakcímmel rendelkezők számára kijelölt","Számlálására kijelölt"
"1111 Budapest 11, Bartók Béla út 32. (B32 galéria)","02","001","Igen","Nem","Nem","Nem"
"1118 Budapest 11, Köbölkút utca 27-29. (Ált. Isk.)","02","002","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Köbölkút utca 27-29. (Ált. Isk.)","02","003","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Köbölkút utca 27-29. (Ált. Isk.)","02","004","Nem","Nem","Nem","Nem"
"1111 Budapest 11, Köbölkút utca 27-29. (Ált. Isk.)","02","005","Nem","Nem","Nem","Nem"
"1114 Budapest 11, Bartók Béla út 27. (Ált. Isk.)","02","006","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Bartók Béla út 27. (Ált. Isk.)","02","007","Nem","Nem","Nem","Nem"
"1114 Budapest 11, Bartók Béla út 27. (Ált. Isk.)","02","008","Nem","Nem","Nem","Nem"
"1114 Budapest 11, Bartók Béla út 27. (Ált. Isk.)","02","009","Nem","Nem","Nem","Nem"
"1111 Budapest 11, Egry József utca 3-11. (Széchenyi Gimn.)","02","010","Igen","Nem","Nem","Nem"
"1111 Budapest 11, Egry József utca 3-11. (Széchenyi Gimn.)","02","011","Nem","Nem","Nem","Nem"
"1111 Budapest 11, Egry József utca 3-11. (Széchenyi Gimn.)","02","012","Nem","Nem","Nem","Nem"
"1111 Budapest 11, Egry József utca 3-11. (Széchenyi Gimn.)","02","013","Nem","Nem","Nem","Nem"
"1111 Budapest 11, Egry József utca 3-11. (Széchenyi Gimn.)","02","014","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Bogdánfy utca 5/B. (Gimnázium)","02","015","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Bogdánfy utca 5/B. (Gimnázium)","02","016","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Baranyai utca 16-18. (Ált. Isk.)","02","017","Igen","Nem","Nem","Nem"
"1117 Budapest 11, Baranyai utca 16-18. (Ált. Isk.)","02","018","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Baranyai utca 16-18. (Ált. Isk.)","02","019","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Váli utca 1. (Gimnázium)","02","020","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Váli utca 1. (Gimnázium)","02","021","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Váli utca 1. (Gimnázium)","02","022","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Váli utca 1. (Gimnázium)","02","023","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Váli utca 1. (Gimnázium)","02","024","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Baranyai utca 16-18. (Ált. Isk.)","02","025","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Baranyai utca 16-18. (Ált. Isk.)","02","026","Nem","Nem","Nem","Nem"
"1117 Budapest 11, Baranyai utca 16-18. (Ált. Isk.)","02","027","Nem","Nem","Nem","Nem"
"1113 Budapest 11, Bocskai út 47-49. (Ált. Isk.)","02","028","Igen","Nem","Nem","Nem"
"1113 Budapest 11, Aga utca 10. (Óvoda)","02","029","Nem","Nem","Nem","Nem"
"1113 Budapest 11, Aga utca 10. (Óvoda)","02","030","Nem","Nem","Nem","Nem"
"1113 Budapest 11, Bocskai út 47-49. (Ált. Isk.)","02","031","Nem","Nem","Nem","Nem"
"1113 Budapest 11, Bocskai út 47-49. (Ált. Isk.)","02","032","Nem","Nem","Nem","Nem"
"1113 Budapest 11, Bocskai út 47-49. (Ált. Isk.)","02","033","Igen","Nem","Igen","Nem"
"1113 Budapest 11, Bocskai út 47-49. (Ált. Isk.)","02","034","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Zólyomi út 20-22. (Óvoda)","02","035","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Zólyomi út 20-22. (Óvoda)","02","036","Nem","Nem","Nem","Nem"
"1112 Budapest 11, Érdi út 2. (Ált. Isk.)","02","037","Igen","Nem","Nem","Nem"
"1118 Budapest 11, Dayka Gábor utca 4/B. (Óvoda)","02","038","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Dayka Gábor utca 4/B. (Óvoda)","02","039","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Dayka Gábor utca 4/B. (Óvoda)","02","040","Nem","Nem","Nem","Nem"
"1112 Budapest 11, Érdi út 2. (Ált. Isk.)","02","041","Igen","Nem","Nem","Nem"
"1112 Budapest 11, Érdi út 2. (Ált. Isk.)","02","042","Nem","Nem","Nem","Nem"
"1112 Budapest 11, Érdi út 2. (Ált. Isk.)","02","043","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Csiki-hegyek utca 13-15. (Ált. Isk.)","02","044","Igen","Nem","Nem","Nem"
"1118 Budapest 11, Csiki-hegyek utca 13-15. (Ált. Isk.)","02","045","Igen","Nem","Nem","Nem"
"1118 Budapest 11, Csiki-hegyek utca 13-15. (Ált. Isk.)","02","046","Igen","Nem","Nem","Nem"
"1118 Budapest 11, Beregszász út 10. (Öveges Szakgimn. és SZKI)","02","047","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Törökugrató utca 15. (Ált. Isk.)","02","048","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Törökugrató utca 15. (Ált. Isk.)","02","049","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Törökugrató utca 15. (Ált. Isk.)","02","050","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Törökugrató utca 15. (Ált. Isk.)","02","051","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Törökugrató utca 15. (Ált. Isk.)","02","052","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Csiki-hegyek utca 13-15. (Ált. Isk.)","02","053","Igen","Nem","Nem","Nem"
"1118 Budapest 11, Csiki-hegyek utca 13-15. (Ált. Isk.)","02","054","Igen","Nem","Nem","Nem"
"1118 Budapest 11, Csiki-hegyek utca 13-15. (Ált. Isk.)","02","055","Igen","Nem","Nem","Nem"
"1118 Budapest 11, Csiki-hegyek utca 13-15. (Ált. Isk.)","02","056","Igen","Nem","Nem","Nem"
"1118 Budapest 11, Törökugrató utca 15. (Ált. Isk.)","02","057","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Törökugrató utca 15. (Ált. Isk.)","02","058","Nem","Nem","Nem","Nem"
"1112 Budapest 11, Menyecske utca 2. (Ált. Isk.)","02","059","Igen","Nem","Nem","Nem"
"1118 Budapest 11, Beregszász út 10. (Öveges Szakgimn. és SZKI)","02","060","Nem","Nem","Nem","Nem"
"1118 Budapest 11, Beregszász út 10. (Öveges Szakgimn. és SZKI)","02","061","Nem","Nem","Nem","Nem"
"1112 Budapest 11, Menyecske utca 2. (Ált. Isk.)","02","062","Igen","Nem","Nem","Nem"
"1112 Budapest 11, Menyecske utca 2. (Ált. Isk.)","02","063","Nem","Nem","Nem","Nem"
"1112 Budapest 11, Menyecske utca 2. (Ált. Isk.)","02","064","Nem","Nem","Nem","Nem"
"1112 Budapest 11, Menyecske utca 2. (Ált. Isk.)","02","065","Nem","Nem","Nem","Nem"
"1115 Budapest 11, Bartók Béla út 141. (Ált. Isk.)","02","066","Nem","Nem","Nem","Nem"
"1115 Budapest 11, Keveháza utca 2. (Ált. Isk.)","02","067","Nem","Nem","Nem","Nem"
"1114 Budapest 11, Bartók Béla út 141. (Ált. Isk.)","02","068","Nem","Nem","Nem","Nem"
"1115 Budapest 11, Bartók Béla út 141. (Ált. Isk.)","02","069","Nem","Nem","Nem","Nem"
"1119 Budapest 11, Mérnök utca 39. (SZÁMALK)","02","070","Igen","Nem","Nem","Nem"
"1119 Budapest 11, Mérnök utca 39. (SZÁMALK)","02","071","Igen","Nem","Nem","Nem"
"1119 Budapest 11, Mérnök utca 39. (SZÁMALK)","02","072","Igen","Nem","Nem","Nem"
"1115 Budapest 11, Keveháza utca 2. (Ált. Isk.)","02","073","Nem","Nem","Nem","Nem"
"1115 Budapest 11, Keveháza utca 2. (Ált. Isk.)","02","074","Nem","Nem","Nem","Nem"
"1115 Budapest 11, Keveháza utca 2. (Ált. Isk.)","02","075","Nem","Nem","Nem","Nem"
"1119 Budapest 11, Mérnök utca 39. (SZÁMALK)","02","076","Igen","Nem","Nem","Nem"
"1119 Budapest 11, Mérnök utca 39. (SZÁMALK)","02","077","Igen","Nem","Nem","Igen"
"1118 Budapest 11, Csiki-hegyek utca 13-15. (Ált. Isk.)","02","115","Igen","Igen","Nem","Nem"